ticker,name,sector,industry,date,close,score,score_max,chg20,volume,rsi,conditions
ARCT,Arcturus Therapeutics Holdings Inc.,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,15.83,8,8,173.4,14224206,98.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
ASST,"Strive, Inc.",Technology,Computer Software: Prepackaged Software,2026-08-26,21.5,8,8,94.4,89871591,94.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
TWST,Twist Bioscience Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-08-26,150.06,8,8,75.6,224827511,69.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
HELP,Cybin Inc.,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,13.63,8,8,72.3,21881156,76.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
IMMX,"Immix Biopharma, Inc.",Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,14.07,8,8,72.2,18388132,77.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
CAI,"Caris Life Sciences, Inc.",Health Care,Medical Specialities,2026-08-26,26.82,8,8,72.0,120319998,71.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
AUGO,Aura Minerals Inc.,Basic Materials,Metal Mining,2026-08-26,89.3,8,8,65.4,72471055,80.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
NG,Novagold Resources Inc.,Basic Materials,Precious Metals,2026-08-26,9.32,8,8,61.0,40411097,70.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
INBX,"Inhibrx Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-08-26,125.34,8,8,58.2,25806713,87.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
ERO,Ero Copper Corp.,Basic Materials,Metal Mining,2026-08-26,39.24,8,8,55.2,58111598,67.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
BTG,B2Gold Corp,Basic Materials,Precious Metals,2026-08-26,5.74,8,8,53.5,140394204,74.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
AU,盎格鲁黄金,Basic Materials,Precious Metals,2026-08-26,118.11,8,8,52.6,324311161,69.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
BMNR,"Bitmine Immersion Technologies, Inc.",Finance,Finance: Consumer Services,2026-08-26,24.91,8,8,50.2,758795137,90.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
FSM,Fortuna Mining Corp.,Basic Materials,Precious Metals,2026-08-26,12.41,8,8,48.3,61837130,84.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
GFI,金田,Basic Materials,Precious Metals,2026-08-26,47.82,8,8,48.3,158387892,74.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
AEM,伊格尔矿业,Basic Materials,Precious Metals,2026-08-26,214.04,8,8,48.2,674926297,67.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
KURA,"Kura Oncology, Inc.",Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,13.06,8,8,46.2,24465469,69.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
XNCR,"Xencor, Inc.",Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,28.44,8,8,45.6,30517876,74.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
AYA,Aya Gold & Silver Inc.,Basic Materials,Precious Metals,2026-08-26,27.77,8,8,44.5,24349792,65.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
HMY,哈莫尼黄金,Basic Materials,Precious Metals,2026-08-26,22.43,8,8,44.4,63560095,65.2,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
ANF,爱芬奇,Consumer Discretionary,Clothing/Shoe/Accessory Stores,2026-08-26,147.75,8,8,44.2,237105773,87.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
NEM,纽曼矿业,Basic Materials,Precious Metals,2026-08-26,131.6,8,8,44.1,909815915,70.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
EXK,Endeavour Silver Corporation,Basic Materials,Precious Metals,2026-08-26,10.89,8,8,44.0,87381297,61.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
WPM,Wheaton Precious Metals Corp,Basic Materials,Precious Metals,2026-08-26,156.02,8,8,42.7,335361448,66.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
AVAH,Aveanna Healthcare Holdings Inc.,Health Care,Medical/Nursing Services,2026-08-26,13.62,8,8,39.7,41516585,83.5,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
